ITEM,QTY,TOTAL,SRC,NOTES
Raspberry Pi 5 8GB,1,94.82,https://www.silverlineelectronics.in/collections/raspberry-pi-5-official-accessories/products/raspberry-pi-5-model-b-8gb-ram,"I require an 8GB because I dont just need to use ROS - within it, I also need to do SLAM(even more computationally expensive)"
RPi 5 Active Cooler,1,5.27,https://www.silverlineelectronics.in/collections/raspberry-pi-cooling-tech,
SD Card,1,6.93,"https://www.amazon.in/SAMSUNG-Adaptor-Expanded-Storage-MB-MC64SA/dp/B0CXJ5Q222/ref=sr_1_3?crid=2JX27GGIJJTGI&dib=eyJ2IjoiMSJ9.W0mEzbMqa_UC3GB83swgkYea9f_3bRa4nMoh5j8uNEkChp42zWEkQpLMc0DnmWqmeu-AuuhK89UciyKu_5SFswRarCA-pBkkO60Q20oIBA_fkTCwYzRS_bEmYCP8yWifGQWiN7IS3pzrRxGHj_bR59EVNZ7nKRTTJQgCTymu6a5_LKu5mFX9u4Qt-aeNY8PHtSEAPnHDRGtQwz8awrEL67j54Ov63FOAKBYw6o2EqSo.z2cyXBa8m8xP1fLej5w40OuPwxTdFYv78CPP1mV_vY4&dib_tag=se&keywords=64gb+sd+card+evo&qid=1750190942&sprefix=64gb+sd+card+evo,aps,226&sr=8-3&th=1",
Waveshare Stereo Camera,1,47.76,https://hubtronics.in/imx219-83-stereo-camera,
YDLIDAR X2,1,60.99,https://www.electronicscomp.com/ydlidar-x2-360-degree-ros-scanner-for-navigation-collision-avoidance-8m?srsltid=AfmBOorwLINheGIH6_5-cDKKJgGNAVWmLa5pv0aLsJ3wuyl8X8SN1hhzP3Q&gRefinements=SORT_BY:Price:+low+to+high,
PCA9685,2,2.85,https://ebhoot.in/shop-2/electronics-modules/motor-driver-modules/pca9685-16-channel-12-bit-pwm-servo-driver-i2c-interface/,"Already have one, so total is for one of these"
XY3006,1,1.37,https://ebhoot.in/shop-2/electronics-modules/buck-boost-converters/12v-24v-to-5v-5a-power-module-dc-dc-xy-3606-power-converter/?gad_source=1&gad_campaignid=21449576071&gclid=CjwKCAjwx8nCBhAwEiwA_z__00JWTz0lmIYmjgigmuLrG_mB9NXK0m6Z8M0n4_vqbH1e5E6pjkPP_RoCT4sQAvD_BwE,
XT-60 Adapter,1,1.34,https://www.flyrobo.in/xt60-male-dc-jack-male-plug-connector?tracking=ads&srsltid=AfmBOopBsr8yGGmiQB9ifpqzdHga3PDd0xyMWqODkcGKdwBzT738jNK1JGw,With shipping
MG996R,12,48.62,https://sharvielectronics.com/product/mg996r-metal-gear-servo-motor/?srsltid=AfmBOoqSlyks-1TuudDgubd_qj9fNCwaQsQTs6MFmUkCxiBuGM9Gln68fNU,
,,,,
,,269.95,,